temperature,humidity,number of people,result
-16,5,60.16,комфортная холодная
-16,10,60.16,комфортная холодная
-16,15,60.16,комфортная холодная
-16,20,55.39,комфортная холодная
-16,25,52.05,ощутимо холодная
-16,30,54.04,ощутимо холодная
-16,35,54.81,ощутимо холодная
-16,40,54.81,ощутимо холодная
-16,45,54.81,ощутимо холодная
-16,50,54.81,ощутимо холодная
-16,55,53.88,ощутимо холодная
-16,60,52.94,ощутимо холодная
-16,65,51.97,ощутимо холодная
-16,70,56.9,морозная
-16,75,61.57,морозная
-16,80,64.36,морозная
-16,85,64.36,морозная
-16,90,64.36,морозная
-16,95,64.36,морозная
-16,100,64.36,морозная
-15,0,60.16,комфортная холодная
-15,5,60.16,комфортная холодная
-15,10,60.16,комфортная холодная
-15,15,60.16,комфортная холодная
-15,20,55.39,комфортная холодная
-15,25,52.05,ощутимо холодная
-15,30,54.04,ощутимо холодная
-15,35,54.81,ощутимо холодная
-15,40,54.81,ощутимо холодная
-15,45,54.81,ощутимо холодная
-15,50,54.81,ощутимо холодная
-15,55,53.88,ощутимо холодная
-15,60,52.94,ощутимо холодная
-15,65,51.97,ощутимо холодная
-15,70,56.9,морозная
-15,75,61.57,морозная
-15,80,64.36,морозная
-15,85,64.36,морозная
-15,90,64.36,морозная
-15,95,64.36,морозная
-15,100,64.36,морозная
-14,0,59.42,комфортная холодная
-14,5,59.42,комфортная холодная
-14,10,59.42,комфортная холодная
-14,15,59.42,комфортная холодная
-14,20,55.39,комфортная холодная
-14,25,52.05,ощутимо холодная
-14,30,54.04,ощутимо холодная
-14,35,54.43,ощутимо холодная
-14,40,54.43,ощутимо холодная
-14,45,54.43,ощутимо холодная
-14,50,54.43,ощутимо холодная
-14,55,53.88,ощутимо холодная
-14,60,52.94,ощутимо холодная
-14,65,51.97,ощутимо холодная
-14,70,56.9,морозная
-14,75,61.57,морозная
-14,80,63.52,морозная
-14,85,63.52,морозная
-14,90,63.52,морозная
-14,95,63.52,морозная
-14,100,63.52,морозная
-13,0,58.65,комфортная холодная
-13,5,58.65,комфортная холодная
-13,10,58.65,комфортная холодная
-13,15,58.65,комфортная холодная
-13,20,55.39,комфортная холодная
-13,25,52.05,ощутимо холодная
-13,30,54.04,ощутимо холодная
-13,35,54.04,ощутимо холодная
-13,40,54.04,ощутимо холодная
-13,45,54.04,ощутимо холодная
-13,50,54.04,ощутимо холодная
-13,55,53.88,ощутимо холодная
-13,60,52.94,ощутимо холодная
-13,65,51.97,ощутимо холодная
-13,70,56.9,морозная
-13,75,61.57,морозная
-13,80,62.58,морозная
-13,85,62.58,морозная
-13,90,62.58,морозная
-13,95,62.58,морозная
-13,100,62.58,морозная
-12,0,57.87,комфортная холодная
-12,5,57.87,комфортная холодная
-12,10,57.87,комфортная холодная
-12,15,57.87,комфортная холодная
-12,20,55.39,комфортная холодная
-12,25,52.05,ощутимо холодная
-12,30,53.65,ощутимо холодная
-12,35,53.65,ощутимо холодная
-12,40,53.65,ощутимо холодная
-12,45,53.65,ощутимо холодная
-12,50,53.65,ощутимо холодная
